no,eclipse,ours
1323,151,794
1325,129,1532
1327,145,556
1328,135,587
1331,114,1266
1332,123,628
1333,111,584
1334,138,622
1335,133,531
1336,107,99
1337,110,522
1338,113,1606
1339,75,294
1340,90,280
1341,93,164
1342,131,407
1343,109,160
1344,117,159
1345,104,219
1346,105,298
1347,98,354
1348,125,356
1349,105,375
1350,94,95
1351,96,89
1352,107,90
1353,113,88
1354,108,202
1355,110,264
1356,83,92
1357,89,128
1358,119,141
1359,101,124
1360,88,88
1361,103,122
1362,103,4485
1363,83,2366
1364,131,1793
1365,81,2963
1366,96,932
1367,112,4800
1368,130,2102
1369,82,1092
1370,82,1710
1371,99,1154
1372,82,1243
1373,82,1978
1374,83,2115
1375,118,1065
1376,101,1364
1377,97,2514
1378,82,2664
1379,100,2092
1382,127,527
1383,88,360
1384,113,213
1385,112,350
1386,98,188
1387,98,1377
1388,98,446
1389,111,356
1390,101,1378
1391,85,224
1394,113,502
1395,105,187
1396,113,360
1397,103,423
1398,113,1206
1399,82,19
1400,108,20
1401,116,761
1402,118,1101
1403,107,2343
1404,115,938
1405,96,18
1406,132,18
1407,118,767
1408,115,2092
1409,83,19
1410,105,19
1411,98,19
1412,113,790
1413,113,19
1414,104,20
1415,115,20
1416,131,820
1417,110,20
1418,109,20
1419,111,1198
1420,83,19
1421,138,1101
1422,99,19
1423,132,19
1424,111,1460
1428,116,117
1429,101,118
1430,90,151
1431,90,156
1432,108,125
1433,104,149
1434,119,150
1435,102,116
1437,114,370
1438,108,247
1439,113,307
1443,100,343
1444,112,377
1446,99,298
1447,94,246
1449,133,294
1453,131,331
1455,105,92
1456,82,189
1457,113,435
1459,99,243
1460,99,358
1461,118,136
1462,99,136
1463,106,251
1464,116,18
1466,100,89
1467,110,638
1468,106,406
1469,88,18
1470,79,716
1471,98,49
1472,108,50
1473,89,31790
1474,96,221
1475,105,323
1476,91,500
1477,139,232
1478,116,108
1479,113,202
1480,115,204
1481,125,208
1482,138,111
1483,114,108
1484,128,147
1485,92,23
1486,119,22
1487,115,22
1488,123,22
1489,119,22
1490,118,24
1491,114,22
1492,123,23
1493,110,336
1494,109,24
1495,101,182
1496,105,238
1497,118,23
1498,125,324
1499,122,22
1500,112,257
1501,103,492
1502,113,22
1503,109,107
1504,140,146
1505,103,107
1506,122,224
1507,117,209
1508,107,398
1509,105,155
1510,106,111
1511,120,151
1512,112,142
1513,117,148
1514,99,146
1515,108,309
1516,111,424
1517,131,208
1518,104,235
1519,106,380
1520,126,199
1521,120,83
1522,85,188
1523,119,169
1524,91,244
1525,88,361
1526,82,84
1527,81,43
1528,108,84
1529,94,43
1530,76,50
1531,111,68
1532,119,129
1534,92,44
1536,96,109
1537,91,141
1538,85,44
1539,103,185
1540,79,138
1541,86,87
1542,85,85
1543,72,107
1544,92,87
1545,101,116
1548,91,77
1549,80,85
1551,121,175
1552,84,130
1553,102,103
1554,119,94
1555,95,76
1557,112,92
1558,85,52
1559,85,60
1560,92,111
1562,93,44
1564,104,116
1565,109,86
1567,109,67
1570,127,89
1572,91,125
1573,95,113
1575,120,153
1576,98,242
1578,124,77
1579,89,124
1580,87,50
1581,118,45
1582,73,84
1583,86,74
1584,106,75
1585,103,98
1588,79,59
1590,89,83
1591,93,100
1593,100,52
1596,88,86
1598,132,330
1599,82,15
1600,115,1766
1603,115,2788
1604,81,2767
1605,120,2912
1606,101,2841
1608,109,125
1609,89,124
1610,93,83
1611,105,169
1612,101,202
1613,123,81
1615,96,123
1616,115,97
1617,86,87
1619,131,4145
1620,131,502
1621,152,227
1622,115,293
1623,124,82
1624,123,24
1625,111,313
1626,121,1491
1627,118,87
1628,120,530
1629,110,284
1630,125,2062
1631,109,25
1632,127,161
1633,117,2499
1634,107,145
1635,122,2935
1636,117,376
1637,115,22
1639,120,25
1640,116,507
1641,131,548
1642,95,23
1644,119,24
1645,184,1373
1646,116,785
1647,123,178
1648,112,154
1649,129,191
1650,109,167
1651,124,162
1652,107,161
1653,116,167
1654,110,358
1655,99,428
1656,87,97
1657,108,70
1658,94,331
1659,120,28158
1660,99,224
1661,119,512
1662,95,221
1663,110,18
1664,156,344
1665,96,431
1666,99,697
1667,100,1654
1668,91,151
1669,109,780
1670,122,288
1671,118,116
1672,136,260
1673,104,115
1676,100,249
1677,120,143
1678,100,246
1679,95,178
1680,109,397
1681,107,707
1682,100,729
1683,98,809
1684,103,638
1685,99,349
1686,129,486
1687,120,219
